file,runner_id,session_id,age,sex,reported_rpe
clean_D_231001_runTEST__1_163_LPM_2025_10_08_18_30_41_T2_1.parquet,231001,2,23,male,4 
clean_D_231001_runTEST__1_164.0_LPM_2025_10_08_18_33_58_T3_1.parquet,231001,2,23,male,5 
clean_D_231001_runTEST__1_166_LPM_2025_10_08_18_38_41_T3_1.parquet,231001,2,23,male,5
clean_D_231001_runTEST__1_168_LPM_2025_10_24_12_53_55_T1_1.parquet,231001,4,23,male,3 
clean_D_231001_runTEST__1_169.0_LPM_2025_10_10_18_32_40_T2_1.parquet,231001,3,23,male,4
clean_D_231001_runTEST__1_171.0_LPM_2025_10_10_18_39_23_T3_1.parquet,231001,3,23,male,5
clean_D_231001_runTEST__1_172.0_LPM_2025_10_24_12_56_49_T2_1.parquet,231001,4,23,male,6
clean_D_231001_runTEST__1_174_LPM_2025_10_08_18_51_15_T4_1.parquet,231001,2,23,male,6
clean_D_231001_runTEST__1_177_LPM_2025_10_24_13_07_53_T3_1.parquet,231001,4,23,male,7 
clean_D_231001_runTEST__1_177.0_LPM_2025_10_24_13_03_22_T3_1.parquet,231001,4,23,male,7
clean_D_231001_runTEST__1_178_LPM_2025_10_24_13_00_24_T2_1.parquet,231001,4,23,male,6 
clean_D_231001_runTEST__1_179_LPM_2025_10_24_13_20_06_T4_1.parquet,231001,4,23,male,7 
clean_D_231001_runTEST__1_180_LPM_2025_10_10_18_36_25_T2_1.parquet,231001,3,23,male,4 
clean_D_231001_runTEST__1_181.0_LPM_2025_10_24_13_11_28_T4_1.parquet,231001,4,23,male,7 
clean_D_231001_runTEST__1_182_LPM_2025_10_10_18_58_14_T4_1.parquet,231001,3,23,male,6
clean_D_231001_runTEST__1_183_LPM_2025_10_10_18_43_58_T3_1.parquet,231001,3,23,male,5
clean_D_231001_runTEST__2_130.0_LPM_2025_10_06_10_09_49_T1_1.parquet,231001,1,23,male,2 
clean_D_231001_runTEST__2_131.0_LPM_2025_10_06_10_03_23_T1_1.parquet,231001,1,23,male,2 
clean_D_231001_runTEST__2_136.0_LPM_2025_10_06_10_14_27_T2_1.parquet,231001,1,23,male,3 
clean_D_231001_runTEST__2_142.0_LPM_2025_10_06_10_21_10_T3_1.parquet,231001,1,23,male,4 
clean_D_231001_runTEST__2_143.0_LPM_2025_10_06_10_30_46_T4_1.parquet,231001,1,23,male,5
clean_D_231001_runTEST__2_151.0_LPM_2025_10_08_18_23_44_T1_1.parquet,231001,2,23,male,2 
clean_D_231001_runTEST__2_159.0_LPM_2025_10_08_18_28_36_T2_1.parquet,231001,2,23,male,4 
clean_D_231001_runTEST__2_160.0_LPM_2025_10_10_18_29_25_T1_1.parquet,231001,3,23,male,3 
clean_D_231001_runTEST__2_164.0_LPM_2025_10_08_18_35_28_T3_1.parquet,231001,2,23,male,5 
clean_D_231001_runTEST__2_166.0_LPM_2025_10_08_18_44_00_T4_1.parquet,231001,2,23,male,6 
clean_D_231001_runTEST__2_168.0_LPM_2025_10_24_12_53_49_T1_1.parquet,231001,4,23,male,3 
clean_D_231001_runTEST__2_169.0_LPM_2025_10_10_18_34_10_T2_1.parquet,231001,3,23,male,4 
clean_D_231001_runTEST__2_175.0_LPM_2025_10_24_12_58_20_T2_1.parquet,231001,4,23,male,6 
clean_D_231001_runTEST__2_177.0_LPM_2025_10_24_13_04_52_T3_1.parquet,231001,4,23,male,7 
clean_D_231001_runTEST__2_178.0_LPM_2025_10_10_18_40_52_T3_1.parquet,231001,3,23,male,5 
clean_D_231001_runTEST__2_180.0_LPM_2025_10_24_13_12_58_T4_1.parquet,231001,4,23,male,7 
clean_D_231001_runTEST__2_183.0_LPM_2025_10_10_18_51_05_T4_1.parquet,231001,3,23,male,6 
clean_D_231001_runTEST__3_140.0_LPM_2025_10_06_10_15_56_T2_1.parquet,231001,1,23,male,3
clean_D_231001_runTEST__3_145.0_LPM_2025_10_06_10_32_15_T4_1.parquet,231001,1,23,male,5 
clean_D_231001_runTEST__3_147.0_LPM_2025_10_06_10_22_40_T3_1.parquet,231001,1,23,male,4 
clean_D_231001_runTEST__3_157.0_LPM_2025_10_08_18_30_05_T2_1.parquet,231001,2,23,male,4 
clean_D_231001_runTEST__3_165.0_LPM_2025_10_08_18_36_57_T3_1.parquet,231001,2,23,male,5 
clean_D_231001_runTEST__3_169.0_LPM_2025_10_08_18_45_30_T4_1.parquet,231001,2,23,male,6 
clean_D_231001_runTEST__3_177.0_LPM_2025_10_10_18_35_39_T2_1.parquet,231001,3,23,male,4 
clean_D_231001_runTEST__3_178.0_LPM_2025_10_24_12_59_50_T2_1.parquet,231001,4,23,male,6 
clean_D_231001_runTEST__3_178.0_LPM_2025_10_24_13_14_28_T4_1.parquet,231001,4,23,male,7 
clean_D_231001_runTEST__3_181.0_LPM_2025_10_10_18_52_35_T4_1.parquet,231001,3,23,male,6 
clean_D_231001_runTEST__3_182.0_LPM_2025_10_10_18_42_21_T3_1.parquet,231001,3,23,male,5 
clean_D_231001_runTEST__3_184.0_LPM_2025_10_24_13_06_22_T3_1.parquet,231001,4,23,male,7 
clean_D_231001_runTEST__4_145.0_LPM_2025_10_06_10_24_09_T3_1.parquet,231001,1,23,male,4 
clean_D_231001_runTEST__4_147.0_LPM_2025_10_06_10_33_45_T4_1.parquet,231001,1,23,male,5 
clean_D_231001_runTEST__4_164.0_LPM_2025_10_08_18_46_59_T4_1.parquet,231001,2,23,male,6 
clean_D_231001_runTEST__4_165.0_LPM_2025_10_08_18_38_27_T3_1.parquet,231001,2,23,male,5 
clean_D_231001_runTEST__4_178.0_LPM_2025_10_24_13_07_52_T3_1.parquet,231001,4,23,male,7
clean_D_231001_runTEST__4_179.0_LPM_2025_10_24_13_15_58_T4_1.parquet,231001,4,23,male,7
clean_D_231001_runTEST__4_181.0_LPM_2025_10_10_18_54_04_T4_1.parquet,231001,3,23,male,6
clean_D_231001_runTEST__4_183.0_LPM_2025_10_10_18_43_51_T3_1.parquet,231001,3,23,male,5
clean_D_231001_runTEST__5_148.0_LPM_2025_10_06_10_35_14_T4_1.parquet,231001,1,23,male,5
clean_D_231001_runTEST__5_171.0_LPM_2025_10_08_18_48_29_T4_1.parquet,231001,2,23,male,6 
clean_D_231001_runTEST__5_183.0_LPM_2025_10_24_13_17_28_T4_1.parquet,231001,4,23,male,7 
clean_D_231001_runTEST__5_185.0_LPM_2025_10_10_18_55_34_T4_1.parquet,231001,3,23,male,6 
clean_D_231001_runTEST__6_145.0_LPM_2025_10_06_10_36_44_T4_1.parquet,231001,1,23,male,5
clean_D_231001_runTEST__6_168.0_LPM_2025_10_08_18_49_58_T4_1.parquet,231001,2,23,male,6
clean_D_231001_runTEST__6_183.0_LPM_2025_10_10_18_57_03_T4_1.parquet,231001,3,23,male,6
clean_D_231001_runTEST__6_183.0_LPM_2025_10_24_13_18_58_T4_1.parquet,231001,4,23,male,7
clean_D_542012_runTEST__6_147.0_LPM_2025_10_27_11_22_34_T4_1.parquet,542012,1,54,female,4 
clean_D_542012_runTEST__1_122.0_LPM_2025_10_27_10_59_53_T2_1.parquet,542012,1,54,female,2
clean_D_542012_runTEST__1_129.0_LPM_2025_10_27_11_06_36_T3_1.parquet,542012,1,54,female,3
clean_D_542012_runTEST__1_132.0_LPM_2025_10_27_10_55_10_T1_1.parquet,542012,1,54,female,1
clean_D_542012_runTEST__1_133.0_LPM_2025_10_27_11_15_02_T4_1.parquet,542012,1,54,female,4
clean_D_542012_runTEST__1_140_LPM_2025_10_27_10_56_48_T1_1.parquet,542012,1,54,female,1
clean_D_542012_runTEST__1_142_LPM_2025_10_27_11_03_35_T2_1.parquet,542012,1,54,female,2
clean_D_542012_runTEST__1_147_LPM_2025_10_27_11_11_15_T3_1.parquet,542012,1,54,female,3
clean_D_542012_runTEST__1_147_LPM_2025_10_27_11_23_35_T4_1.parquet,542012,1,54,female,4
clean_D_542012_runTEST__2_135.0_LPM_2025_10_27_11_01_24_T2_1.parquet,542012,1,54,female,2
clean_D_542012_runTEST__2_137.0_LPM_2025_10_27_11_16_32_T4_1.parquet,542012,1,54,female,4
clean_D_542012_runTEST__2_138.0_LPM_2025_10_27_11_08_06_T3_1.parquet,542012,1,54,female,3
clean_D_542012_runTEST__2_139.0_LPM_2025_10_27_10_56_40_T1_1.parquet,542012,1,54,female,1
clean_D_542012_runTEST__3_140.0_LPM_2025_10_27_11_18_03_T4_1.parquet,542012,1,54,female,4
clean_D_542012_runTEST__3_141.0_LPM_2025_10_27_11_02_54_T2_1.parquet,542012,1,54,female,2
clean_D_542012_runTEST__3_141.0_LPM_2025_10_27_11_09_36_T3_1.parquet,542012,1,54,female,3
clean_D_542012_runTEST__4_144.0_LPM_2025_10_27_11_19_33_T4_1.parquet,542012,1,54,female,4
clean_D_542012_runTEST__4_147.0_LPM_2025_10_27_11_11_07_T3_1.parquet,542012,1,54,female,3
clean_D_542012_runTEST__5_147.0_LPM_2025_10_27_11_21_04_T4_1.parquet,542012,1,54,female,4
clean_D_231007_runTEST__1_155.0_LPM_2025_10_12_11_08_14_T1_1.parquet,231007,1,23,male,2
clean_D_231007_runTEST__1_159.0_LPM_2025_10_12_11_13_18_T2_1.parquet,231007,1,23,male,4
clean_D_231007_runTEST__1_162.0_LPM_2025_10_12_11_21_36_T3_1.parquet,231007,1,23,male,5
clean_D_231007_runTEST__1_165.0_LPM_2025_10_12_11_29_57_T4_1.parquet,231007,1,23,male,7
clean_D_231007_runTEST__1_168_LPM_2025_10_12_11_09_51_T1_1.parquet,231007,1,23,male,2
clean_D_231007_runTEST__1_169_LPM_2025_10_12_11_16_54_T2_1.parquet,231007,1,23,male,4
clean_D_231007_runTEST__1_173_LPM_2025_10_12_11_26_14_T3_1.parquet,231007,1,23,male,5
clean_D_231007_runTEST__1_177_LPM_2025_10_12_11_38_25_T4_1.parquet,231007,1,23,male,7
clean_D_231007_runTEST__2_166.0_LPM_2025_10_12_11_09_45_T1_1.parquet,231007,1,23,male,2
clean_D_231007_runTEST__2_166.0_LPM_2025_10_12_11_14_49_T2_1.parquet,231007,1,23,male,4
clean_D_231007_runTEST__2_166.0_LPM_2025_10_12_11_23_06_T3_1.parquet,231007,1,23,male,5
clean_D_231007_runTEST__2_170.0_LPM_2025_10_12_11_31_27_T4_1.parquet,231007,1,23,male,7
clean_D_231007_runTEST__3_160.0_LPM_2025_10_12_11_24_37_T3_1.parquet,231007,1,23,male,5
clean_D_231007_runTEST__3_167.0_LPM_2025_10_12_11_16_19_T2_1.parquet,231007,1,23,male,4
clean_D_231007_runTEST__3_175.0_LPM_2025_10_12_11_32_58_T4_1.parquet,231007,1,23,male,7
clean_D_231007_runTEST__4_174.0_LPM_2025_10_12_11_26_07_T3_1.parquet,231007,1,23,male,5 
clean_D_231007_runTEST__4_178.0_LPM_2025_10_12_11_34_28_T4_1.parquet,231007,1,23,male,7
clean_D_231007_runTEST__5_177.0_LPM_2025_10_12_11_35_59_T4_1.parquet,231007,1,23,male,7
clean_D_231007_runTEST__6_176.0_LPM_2025_10_12_11_37_29_T4_1.parquet,231007,1,23,male,7
clean_D_241008_runTEST__1_151.0_LPM_2025_10_12_11_08_12_T1_1.parquet,241008,1,24,male,2
clean_D_241008_runTEST__1_171_LPM_2025_10_12_11_39_17_T4_1.parquet,241008,1,24,male,8 
clean_D_241008_runTEST__1_175.0_LPM_2025_10_12_11_13_20_T2_1.parquet,241008,1,24,male,3
clean_D_241008_runTEST__1_177.0_LPM_2025_10_12_11_21_34_T3_1.parquet,241008,1,24,male,5
clean_D_241008_runTEST__1_180_LPM_2025_10_12_11_10_07_T1_1.parquet,241008,1,24,male,2
clean_D_241008_runTEST__1_180.0_LPM_2025_10_12_11_29_51_T4_1.parquet,241008,1,24,male,8
clean_D_241008_runTEST__1_191_LPM_2025_10_12_11_16_57_T2_1.parquet,241008,1,24,male,3
clean_D_241008_runTEST__1_196_LPM_2025_10_12_11_26_15_T3_1.parquet,241008,1,24,male,5
clean_D_241008_runTEST__2_165.0_LPM_2025_10_12_11_09_41_T1_1.parquet,241008,1,24,male,2
clean_D_241008_runTEST__2_183.0_LPM_2025_10_12_11_14_50_T2_1.parquet,241008,1,24,male,3
clean_D_241008_runTEST__2_184.0_LPM_2025_10_12_11_23_03_T3_1.parquet,241008,1,24,male,5
clean_D_241008_runTEST__2_193.0_LPM_2025_10_12_11_31_20_T4_1.parquet,241008,1,24,male,8
clean_D_241008_runTEST__3_186.0_LPM_2025_10_12_11_24_33_T3_1.parquet,241008,1,24,male,5
clean_D_241008_runTEST__3_187.0_LPM_2025_10_12_11_16_20_T2_1.parquet,241008,1,24,male,3
clean_D_241008_runTEST__3_192.0_LPM_2025_10_12_11_32_50_T4_1.parquet,241008,1,24,male,8
clean_D_241008_runTEST__4_195.0_LPM_2025_10_12_11_26_03_T3_1.parquet,241008,1,24,male,5
clean_D_241008_runTEST__4_196.0_LPM_2025_10_12_11_34_20_T4_1.parquet,241008,1,24,male,8
clean_D_241008_runTEST__5_168.0_LPM_2025_10_12_11_35_50_T4_1.parquet,241008,1,24,male,8
clean_D_241008_runTEST__6_179.0_LPM_2025_10_12_11_37_20_T4_1.parquet,241008,1,24,male,8
clean_D_241008_runTEST__7_154.0_LPM_2025_10_12_11_38_49_T4_1.parquet,241008,1,24,male,8
clean_D_212009_runTEST__1_173.0_LPM_2025_10_12_11_13_17_T2_1.parquet,212009,1,21,female,3
clean_D_212009_runTEST__1_174.0_LPM_2025_10_12_11_29_52_T4_1.parquet,212009,1,21,female,7
clean_D_212009_runTEST__1_177.0_LPM_2025_10_12_11_21_36_T3_1.parquet,212009,1,21,female,4
clean_D_212009_runTEST__1_178_LPM_2025_10_12_11_39_03_T4_1.parquet,212009,1,21,female,7
clean_D_212009_runTEST__1_186_LPM_2025_10_12_11_26_12_T3_1.parquet,212009,1,21,female,4
clean_D_212009_runTEST__1_999_LPM_2025_10_12_11_08_12_T1_1.parquet,212009,1,21,female,2
clean_D_212009_runTEST__2_180.0_LPM_2025_10_12_11_14_46_T2_1.parquet,212009,1,21,female,3
clean_D_212009_runTEST__2_180.0_LPM_2025_10_12_11_31_21_T4_1.parquet,212009,1,21,female,7
clean_D_212009_runTEST__2_184.0_LPM_2025_10_12_11_23_06_T3_1.parquet,212009,1,21,female,4
clean_D_212009_runTEST__3_180.0_LPM_2025_10_12_11_24_35_T3_1.parquet,212009,1,21,female,4
clean_D_212009_runTEST__3_181.0_LPM_2025_10_12_11_32_51_T4_1.parquet,212009,1,21,female,7
clean_D_212009_runTEST__3_182.0_LPM_2025_10_12_11_16_16_T2_1.parquet,212009,1,21,female,3
clean_D_212009_runTEST__4_182.0_LPM_2025_10_12_11_34_21_T4_1.parquet,212009,1,21,female,7
clean_D_212009_runTEST__4_186.0_LPM_2025_10_12_11_26_05_T3_1.parquet,212009,1,21,female,4
clean_D_212009_runTEST__5_183.0_LPM_2025_10_12_11_35_50_T4_1.parquet,212009,1,21,female,7
clean_D_212009_runTEST__6_187.0_LPM_2025_10_12_11_37_20_T4_1.parquet,212009,1,21,female,7
clean_D_212009_runTEST__7_179.0_LPM_2025_10_12_11_38_49_T4_1.parquet,212009,1,21,female,7
clean_D_231010_runTEST__1_141.0_LPM_2025_10_12_11_29_51_T4_1.parquet,231010,1,23,male,1 
clean_D_231010_runTEST__1_145_LPM_2025_10_12_11_38_47_T4_1.parquet,231010,1,23,male,1
clean_D_231010_runTEST__1_149.0_LPM_2025_10_12_11_21_33_T3_1.parquet,231010,1,23,male,7
clean_D_231010_runTEST__1_158.0_LPM_2025_10_12_11_08_12_T1_1.parquet,231010,1,23,male,6
clean_D_231010_runTEST__1_182_LPM_2025_10_12_11_09_52_T1_1.parquet,231010,1,23,male,6
clean_D_231010_runTEST__1_182.0_LPM_2025_10_12_11_13_17_T2_1.parquet,231010,1,23,male,8
clean_D_231010_runTEST__1_191_LPM_2025_10_12_11_16_56_T2_1.parquet,231010,1,23,male,8
clean_D_231010_runTEST__1_194_LPM_2025_10_12_11_26_11_T3_1.parquet,231010,1,23,male,7
clean_D_231010_runTEST__2_141.0_LPM_2025_10_12_11_31_21_T4_1.parquet,231010,1,23,male,1
clean_D_231010_runTEST__2_142.0_LPM_2025_10_12_11_23_03_T3_1.parquet,231010,1,23,male,7
clean_D_231010_runTEST__2_180.0_LPM_2025_10_12_11_09_41_T1_1.parquet,231010,1,23,male,6
clean_D_231010_runTEST__2_187.0_LPM_2025_10_12_11_14_46_T2_1.parquet,231010,1,23,male,8
clean_D_231010_runTEST__3_146.0_LPM_2025_10_12_11_32_50_T4_1.parquet,231010,1,23,male,1
clean_D_231010_runTEST__3_187.0_LPM_2025_10_12_11_24_32_T3_1.parquet,231010,1,23,male,7
clean_D_231010_runTEST__3_188.0_LPM_2025_10_12_11_16_16_T2_1.parquet,231010,1,23,male,8
clean_D_231010_runTEST__4_142.0_LPM_2025_10_12_11_34_20_T4_1.parquet,231010,1,23,male,1
clean_D_231010_runTEST__4_194.0_LPM_2025_10_12_11_26_02_T3_1.parquet,231010,1,23,male,7
clean_D_231010_runTEST__5_142.0_LPM_2025_10_12_11_35_49_T4_1.parquet,231010,1,23,male,1
clean_D_231010_runTEST__6_143.0_LPM_2025_10_12_11_37_19_T4_1.parquet,231010,1,23,male,1
clean_D_231011_runTEST__1_149.0_LPM_2025_10_12_11_08_07_T1_1.parquet,231011,1,23,male,2
clean_D_231011_runTEST__1_161_LPM_2025_10_12_11_09_46_T1_1.parquet,231011,1,23,male,2
clean_D_231011_runTEST__1_162.0_LPM_2025_10_12_11_13_14_T2_1.parquet,231011,1,23,male,4
clean_D_231011_runTEST__1_166.0_LPM_2025_10_12_11_21_33_T3_1.parquet,231011,1,23,male,5
clean_D_231011_runTEST__1_170_LPM_2025_10_12_11_26_53_T4_1.parquet,231011,1,23,male,7
clean_D_231011_runTEST__1_171_LPM_2025_10_12_11_16_50_T2_1.parquet,231011,1,23,male,4
clean_D_231011_runTEST__1_172.0_LPM_2025_10_12_11_29_51_T4_1.parquet,231011,1,23,male,7
clean_D_231011_runTEST__1_173_LPM_2025_10_12_11_26_07_T3_1.parquet,231011,1,23,male,5
clean_D_231011_runTEST__1_179_LPM_2025_10_12_11_38_20_T4_1.parquet,231011,1,23,male,7
clean_D_231011_runTEST__2_161.0_LPM_2025_10_12_11_09_37_T1_1.parquet,231011,1,23,male,2
clean_D_231011_runTEST__2_164.0_LPM_2025_10_12_11_14_44_T2_1.parquet,231011,1,23,male,4
clean_D_231011_runTEST__2_172.0_LPM_2025_10_12_11_31_21_T4_1.parquet,231011,1,23,male,7
clean_D_231011_runTEST__2_176.0_LPM_2025_10_12_11_23_03_T3_1.parquet,231011,1,23,male,5
clean_D_231011_runTEST__3_168.0_LPM_2025_10_12_11_16_14_T2_1.parquet,231011,1,23,male,4
clean_D_231011_runTEST__3_173.0_LPM_2025_10_12_11_24_33_T3_1.parquet,231011,1,23,male,5
clean_D_231011_runTEST__3_176.0_LPM_2025_10_12_11_32_51_T4_1.parquet,231011,1,23,male,7
clean_D_231011_runTEST__4_173.0_LPM_2025_10_12_11_26_03_T3_1.parquet,231011,1,23,male,5
clean_D_231011_runTEST__4_174.0_LPM_2025_10_12_11_34_21_T4_1.parquet,231011,1,23,male,7
clean_D_231011_runTEST__5_178.0_LPM_2025_10_12_11_35_51_T4_1.parquet,231011,1,23,male,7
clean_D_231011_runTEST__6_177.0_LPM_2025_10_12_11_37_21_T4_1.parquet,231011,1,23,male,7
clean_D_221006_runTEST__6_169.0_LPM_2025_10_10_18_57_05_T4_1.parquet,221006,1,22,male,5
clean_D_221006_runTEST__1_144.0_LPM_2025_10_10_18_27_57_T1_1.parquet,221006,1,22,male,2
clean_D_221006_runTEST__1_149.0_LPM_2025_10_10_18_39_21_T3_1.parquet,221006,1,22,male,4
clean_D_221006_runTEST__1_150.0_LPM_2025_10_10_18_32_40_T2_1.parquet,221006,1,22,male,3
clean_D_221006_runTEST__1_151_LPM_2025_10_10_18_29_46_T1_1.parquet,221006,1,22,male,2
clean_D_221006_runTEST__1_165_LPM_2025_10_10_18_36_25_T2_1.parquet,221006,1,22,male,3
clean_D_221006_runTEST__1_166.0_LPM_2025_10_10_18_49_36_T4_1.parquet,221006,1,22,male,5
clean_D_221006_runTEST__1_167_LPM_2025_10_10_18_44_00_T3_1.parquet,221006,1,22,male,4
clean_D_221006_runTEST__1_171_LPM_2025_10_10_18_58_13_T4_1.parquet,221006,1,22,male,5
clean_D_221006_runTEST__2_151.0_LPM_2025_10_10_18_29_27_T1_1.parquet,221006,1,22,male,2
clean_D_221006_runTEST__2_153.0_LPM_2025_10_10_18_34_10_T2_1.parquet,221006,1,22,male,3
clean_D_221006_runTEST__2_164.0_LPM_2025_10_10_18_40_51_T3_1.parquet,221006,1,22,male,4
clean_D_221006_runTEST__2_168.0_LPM_2025_10_10_18_51_06_T4_1.parquet,221006,1,22,male,5
clean_D_221006_runTEST__3_167.0_LPM_2025_10_10_18_35_40_T2_1.parquet,221006,1,22,male,3
clean_D_221006_runTEST__3_168.0_LPM_2025_10_10_18_42_20_T3_1.parquet,221006,1,22,male,4
clean_D_221006_runTEST__3_169.0_LPM_2025_10_10_18_52_35_T4_1.parquet,221006,1,22,male,5
clean_D_221006_runTEST__4_167.0_LPM_2025_10_10_18_43_50_T3_1.parquet,221006,1,22,male,4
clean_D_221006_runTEST__4_171.0_LPM_2025_10_10_18_54_05_T4_1.parquet,221006,1,22,male,5
clean_D_221006_runTEST__5_171.0_LPM_2025_10_10_18_55_35_T4_1.parquet,221006,1,22,male,5
clean_D_261004_runTEST__6_144.0_LPM_2025_10_07_19_39_16_T4_1.parquet,261004,1,26,male,5
clean_D_261004_runTEST__1_132_LPM_2025_10_07_19_13_58_T1_1.parquet,261004,1,26,male,2
clean_D_261004_runTEST__1_136.0_LPM_2025_10_07_19_31_47_T4_1.parquet,261004,1,26,male,5
clean_D_261004_runTEST__1_137.0_LPM_2025_10_07_19_11_21_T1_1.parquet,261004,1,26,male,2
clean_D_261004_runTEST__1_139.0_LPM_2025_10_07_19_16_41_T2_1.parquet,261004,1,26,male,3
clean_D_261004_runTEST__1_140.0_LPM_2025_10_07_19_23_15_T3_1.parquet,261004,1,26,male,4
clean_D_261004_runTEST__1_142_LPM_2025_10_07_19_40_29_T4_1.parquet,261004,1,26,male,5
clean_D_261004_runTEST__1_144_LPM_2025_10_07_19_20_20_T2_1.parquet,261004,1,26,male,3
clean_D_261004_runTEST__1_147_LPM_2025_10_07_19_28_02_T3_1.parquet,261004,1,26,male,4
clean_D_261004_runTEST__2_136.0_LPM_2025_10_07_19_33_16_T4_1.parquet,261004,1,26,male,5
clean_D_261004_runTEST__2_140.0_LPM_2025_10_07_19_12_51_T1_1.parquet,261004,1,26,male,2 
clean_D_261004_runTEST__2_140.0_LPM_2025_10_07_19_24_45_T3_1.parquet,261004,1,26,male,4
clean_D_261004_runTEST__2_145.0_LPM_2025_10_07_19_18_11_T2_1.parquet,261004,1,26,male,3
clean_D_261004_runTEST__3_138.0_LPM_2025_10_07_19_34_46_T4_1.parquet,261004,1,26,male,5
clean_D_261004_runTEST__3_141.0_LPM_2025_10_07_19_19_40_T2_1.parquet,261004,1,26,male,3
clean_D_261004_runTEST__3_145.0_LPM_2025_10_07_19_26_15_T3_1.parquet,261004,1,26,male,4
clean_D_261004_runTEST__4_140.0_LPM_2025_10_07_19_36_16_T4_1.parquet,261004,1,26,male,5
clean_D_261004_runTEST__4_146.0_LPM_2025_10_07_19_27_44_T3_1.parquet,261004,1,26,male,4
clean_D_261004_runTEST__5_143.0_LPM_2025_10_07_19_37_46_T4_1.parquet,261004,1,26,male,5
clean_D_221005_runTEST__1_142.0_LPM_2025_10_10_18_27_57_T1_1.parquet,221005,2,22,male,2 
clean_D_221005_runTEST__1_143.0_LPM_2025_10_08_18_22_18_T1_1.parquet,221005,1,22,male,2 
clean_D_221005_runTEST__1_149.0_LPM_2025_10_08_18_27_06_T2_1.parquet,221005,1,22,male,4 
clean_D_221005_runTEST__1_150_LPM_2025_10_10_18_29_44_T1_1.parquet,221005,2,22,male,3 
clean_D_221005_runTEST__1_154_LPM_2025_10_08_18_24_09_T1_1.parquet,221005,1,22,male,2
clean_D_221005_runTEST__1_154.0_LPM_2025_10_10_18_32_40_T2_1.parquet,221005,2,22,male,4
clean_D_221005_runTEST__1_156.0_LPM_2025_10_08_18_33_58_T3_1.parquet,221005,1,22,male,5
clean_D_221005_runTEST__1_158.0_LPM_2025_10_10_18_39_24_T3_1.parquet,221005,2,22,male,5
clean_D_221005_runTEST__1_164.0_LPM_2025_10_08_18_42_31_T4_1.parquet,221005,1,22,male,5
clean_D_221005_runTEST__1_168_LPM_2025_10_08_18_30_41_T2_1.parquet,221005,1,22,male,4
clean_D_221005_runTEST__1_171_LPM_2025_10_08_18_38_40_T3_1.parquet,221005,1,22,male,5
clean_D_221005_runTEST__1_177_LPM_2025_10_08_18_51_16_T4_1.parquet,221005,1,22,male,5
clean_D_221005_runTEST__1_179_LPM_2025_10_10_18_43_59_T3_1.parquet,221005,2,22,male,5
clean_D_221005_runTEST__1_180_LPM_2025_10_10_18_58_15_T4_1.parquet,221005,2,22,male,6
clean_D_221005_runTEST__1_181.0_LPM_2025_10_10_18_49_36_T4_1.parquet,221005,2,22,male,6
clean_D_221005_runTEST__1_183_LPM_2025_10_10_18_36_24_T2_1.parquet,221005,2,22,male,4 
clean_D_221005_runTEST__2_151.0_LPM_2025_10_08_18_23_47_T1_1.parquet,221005,1,22,male,2
clean_D_221005_runTEST__2_156.0_LPM_2025_10_10_18_29_26_T1_1.parquet,221005,2,22,male,3
clean_D_221005_runTEST__2_161.0_LPM_2025_10_08_18_28_35_T2_1.parquet,221005,1,22,male,4
